t_and_o_map  europe continent europa_regina 
density  extratropical_cyclone low-pressure_area high-pressure_area cyclone thunderstorm synoptic_scale_meteorology weather_system dew_point depression_(weather) baroclinity wind_shear warm_front arctic_ocean troposphere coriolis_effect low_pressure_system vortex extratropical_transition_technique archimedes rodinia scandinavian_mountains oak 
western_schism  europe migration_period middle_ages renaissance_humanism western_church christendom history_of_europe early_middle_ages renaissance frankish_empire high_middle_ages late_middle_ages roman_catholic_church papacy crusades inquisition reconquista france_in_the_middle_ages protestant_reformation pope rome martin_luther protestant 
climate_of_europe  europe monaco netherlands 
social_construct  europe eurasia 
andorra  montevideo europe european_union demonym madrid mediterranean_sea russian_federation demographics_of_europe western_europe council_of_europe belarus kazakhstan vatican_city european_integration euro albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland iberia balkans mediterranean_coast charlemagne iberian_peninsula pyrenees monarchy napoleonic_empire nation_state nation-states turkish_republic czechoslovakia geography_of_europe southern_europe balkan mediterranean regions_of_europe constitutional_monarchy area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density andorra_la_vella lisbon northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
atlantic_ocean  tropical_cyclone hurricane low-pressure_area high-pressure_area weather_system depression_(weather) equator southern_hemisphere 30th_parallel_south 70th_parallel_south northern_hemisphere gulf_stream arctic_ocean subtropical_cyclone united_states convection ocean low_pressure_system hurricane_wilma new_jersey tropical_cyclogenesis azores_high atlantic_hurricane typhoon europe continent mediterranean_sea eurasia borders_of_the_continents caspian_sea black_sea asia americas africa oceania western_europe world_war nato phoenicia maghreb anatolia boundaries_between_continents denmark france iceland republic_of_ireland portugal serbia spain faroe_islands greenland adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea norwegian_sea strait_of_gibraltar north_america ptolemy iberia sea_of_azov balkans near_east mediterranean_coast phoenicians mediterranean_basin slavs asia_minor caucasus iberian_peninsula late_middle_ages slavic_peoples early_modern_period rome christopher_columbus new_world napoleon napoleonic_wars great_britain interwar_period treaty_of_versailles fascism hamburg british_empire allies_of_world_war_ii battle_of_stalingrad european_parliament geography_of_europe ireland italian_peninsula gondwana pangea laurasia southern_europe scandinavian_mountains avalonia beech quaternary_glaciation balkan mediterranean minsk brussels copenhagen lisbon british_overseas_territories canary_islands jersey 
greenland_sea  arctic_ocean ocean europe continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea asia americas africa oceania western_europe maghreb anatolia greenland adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea norwegian_sea north_america sea_of_azov balkans near_east mediterranean_coast mediterranean_basin slavs asia_minor caucasus slavic_peoples new_world italian_peninsula southern_europe balkan mediterranean 
nato  united_states canada europe european_union russian_federation demographics_of_europe modern_era western_europe soviet_union cold_war iron_curtain warsaw_pact revolutions_of_1989 berlin_wall council_of_europe winston_churchill belarus kazakhstan european_integration schengen_area albania austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia france germany georgia_(country) greece hungary iceland republic_of_ireland italy kosovo latvia lithuania luxembourg republic_of_macedonia moldova montenegro netherlands norway svalbard poland portugal romania russia serbia slovakia slovenia spain sweden turkey united_kingdom faroe_islands armenia greenland adriatic_sea baltic_sea north_sea history_of_europe balkans peace_of_westphalia modern_history balance_of_power_(international_relations) great_power great_britain world_war_ii stalin turkish_republic adolf_hitler allies_of_world_war_ii yalta_conference joseph_stalin superpower glasnost geography_of_europe geology_of_europe southern_europe balkan central_and_eastern_europe politics_of_europe eurozone nordic_council visegr%c3%a1d_group vienna brussels prague tallinn vilnius belgrade abkhazia pristina south_ossetia transnistria british_overseas_territories 
north_carolina  extratropical_cyclone united_states united_states_dollar north_carolina oregon hurricane_wilma hurricane_sandy new_jersey category_1_hurricane extratropical_transition_technique nor%27easter demonym north_america polis latin latin_language molotov%e2%80%93ribbentrop_pact british_empire language bern 
physical_geography  europe continent eurasia human_geography asia greenland posidonius pyrenees geography_of_europe tundra temperate_steppe baltic_shield apennine_mountains steppe biogeography 
pillars_of_hercules  united_states_dollar europe mediterranean_sea phoenicia maghreb gibraltar strait_of_gibraltar rioni_river mediterranean_coast phoenicians england mediterranean 
kazakh_khanate  europe ural_river kazakhstan umayyad_caliphate umayyad ottoman_empire turkic_peoples tatars golden_horde crimean_khanate 
cyclone_oratia  european_windstorm extratropical_cyclone great_storm_of_1987 extratropical_transition_technique 
scandinavian_mountains  gulf_stream europe norway sweden geography_of_europe carpathian_mountains alpine_tundra geology_of_europe fauna_of_europe 
woolly_mammoth  europe fauna_of_europe dwarf_elephant 
akrotiri_and_dhekelia  pound_sterling canada europe mediterranean_sea asia russian_federation belarus kazakhstan vatican_city euro albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy isle_of_man san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland balkans mediterranean_coast england turkish_republic british_empire decolonisation brexit balkan mediterranean eurozone list_of_countries_by_area abkhazia northern_cyprus south_ossetia crown_dependencies british_overseas_territories countries_of_the_united_kingdom heligoland %c3%85land_islands %c3%85land jersey 
roman_law  europe european_union classical_antiquity western_civilization ancient_history middle_ages soviet_union franks finland germany hungary italy malta spain roman_era ancient_rome roman_empire roman_law latin roman_architecture roman_republic pax_romana germanic_peoples early_middle_ages decline_of_the_roman_empire code_of_justinian frankish_empire serbian_empire renaissance_of_the_12th_century magna_carta inquisition latin_language rome england napoleonic_code european_court_of_justice southern_europe 
sudetenland  europe czech_republic germany slovakia world_war_ii german_empire treaty_of_versailles mussolini fascism kingdom_of_italy adolf_hitler nazi_germany anschluss munich_agreement czechoslovakia appeasement world_war_ii_casualties refugee 
zooplankton  europe barents_sea north_sea sea_of_azov predator phytoplankton echinoderm octopuses 
baffin_bay  arctic_ocean ocean europe continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea asia americas africa oceania western_europe maghreb anatolia greenland adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea norwegian_sea north_america sea_of_azov balkans near_east mediterranean_coast mediterranean_basin slavs asia_minor caucasus slavic_peoples new_world italian_peninsula southern_europe balkan polar_bear mediterranean 
laurasia  europe continent mediterranean_sea eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents barents_sea north_america mediterranean_coast new_world alps baltica supercontinent columbia_(supercontinent) laurentia rodinia euramerica gondwana pangea avalonia fauna_of_europe biogeography mediterranean 
french_foreign_ministry  europe european_coal_and_steel_community 
batu_khan  europe moscow history_of_europe kiev mongol_invasion_of_europe mongol_invasion_of_rus tatars golden_horde 
western_civilization  europe berlin_wall north_america roman_era ancient_rome athens christianity battle_of_tours 
thucydides  europe classical_antiquity social_construct ancient_greece ancient_history greek_mythology ancient_greek greece italy aegean_sea homeric_hymn anaximander herodotus ptolemy minoan_civilization crete parthenon athens democracy rationalism athenian_democracy humanism aristotle socrates plato historiography homer sophocles euripides hippocrates galen pythagoras euclid archimedes renaissance scientific_revolution galileo isaac_newton balance_of_power_(international_relations) communist fascism decolonisation 
human_geography  europe list_of_continents_by_population physical_geography asia 
belgium  world_war_i great_storm_of_1987 europe european_union demonym moscow paris london madrid russian_federation demographics_of_europe renaissance_exploration age_of_discovery western_europe cold_war iron_curtain nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration confederation federation enlargement_of_the_european_union euro schengen_area franks albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland north_sea islamic_world lascaux neanderthal_extinction_hypotheses balkans rhine causewayed_enclosure greeks athens germanic_peoples christianity frankish_empire late_middle_ages monarchy protestant_reformation florence rome habsburg_dynasty french_revolution battle_of_waterloo napoleonic_empire nation_state napoleonic_code congress_of_vienna prussia austro-hungarian_empire nation-states russian_empire habsburg_empire trade_union franz_joseph_i_of_austria central_powers austria-hungary german_empire treaty_of_versailles the_great_war weimar_republic kingdom_of_italy turkish_republic saarland rhineland czechoslovakia european_theatre_of_world_war_ii battle_of_france battle_of_britain british_empire allies_of_world_war_ii normandy_landings berlin world_war_ii_casualties european_coal_and_steel_community treaty_of_rome european_community european_parliament european_court_of_justice geography_of_europe pangea avalonia balkan eurasian_wolf politics_of_europe regions_of_europe constitutional_monarchy eurozone benelux area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density tirana yerevan vienna brussels sofia zagreb nicosia prague copenhagen tallinn budapest dublin riga vilnius luxembourg_(city) skopje valletta amsterdam warsaw lisbon bucharest bratislava ljubljana stockholm list_of_states_with_limited_recognition stepanakert northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
vasco_da_gama  europe atlantic_ocean middle_ages renaissance_exploration age_of_discovery portugal history_of_europe late_middle_ages early_modern_period lisbon 
history_of_science_in_the_renaissance  europe renaissance_art christendom humanism renaissance renaissance_of_the_12th_century fall_of_constantinople scientific_revolution 
vandals  europe madrid migration_period middle_ages africa maghreb franks france gibraltar malta portugal spain roman_era iberia crete ancient_rome germanic_peoples christianity constantinople early_middle_ages decline_of_the_roman_empire ostrogoths visigoths goths huns angles saxons slavs byzantine_empire iberian_peninsula al-andalus slavic_peoples rome lisbon 
near_east  europe asia ancient_greece western_civilization ancient_history world_war cold_war akkadian_language georgia_(country) greece serbia eastern_orthodox islamic_world bronze_age chalcolithic roman_architecture augustus late_antiquity croats caucasus basque_people maritime_republics fourth_crusade new_world orient entente_powers neolithic sofia zagreb 
coriolis_effect  tropical_cyclone hurricane extratropical_cyclone low-pressure_area high-pressure_area cyclone tornado synoptic_scale_meteorology weather_system weather_front depression_(weather) weather_fronts equator southern_hemisphere northern_hemisphere surface_weather_analysis jetstream westerlies coriolis_effect wind low_pressure_system extratropical_transition_technique anticyclonic_storm polar_vortex typhoon atlantic_ocean prevailing_westerlies 
iberia  europe world_war phoenicia republic_of_ireland history_of_europe phoenicians al-andalus napoleonic_wars geology_of_europe southern_europe grassland 
maghreb  arctic_ocean ocean europe paris continent atlantic_ocean mediterranean_sea eurasia borders_of_the_continents caspian_sea asia americas africa oceania western_europe european_integration phoenicia anatolia boundaries_between_continents albania france gibraltar north_america islam balkans near_east mediterranean_coast phoenicians mediterranean_basin slavs asia_minor caucasus al-andalus umayyad_caliphate umayyad granada slavic_peoples new_world battle_of_france decolonisation italian_peninsula southern_europe balkan mediterranean canary_islands 
laurentia  europe continent eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents barents_sea north_america new_world geology_of_europe baltica supercontinent columbia_(supercontinent) rodinia euramerica gondwana pangea laurasia scandinavian_mountains avalonia 
vin%c4%8da_culture  europe bulgaria kosovo serbia bronze_age balkans danube linear_pottery_culture causewayed_enclosure megalithic_tomb corded_ware chalcolithic megalithic neolithic balkan belgrade pristina 
huns  europe ural_river black_sea russian_federation migration_period ancient_history middle_ages belarus kazakhstan franks bosnia_and_herzegovina bulgaria czech_republic germany greece hungary moldova russia slovakia slovenia ukraine roman_era sea_of_azov volga_river burial_mound ancient_rome germanic_peoples constantinople early_middle_ages decline_of_the_roman_empire ostrogoths visigoths goths vandals slavs bulgars pechenegs byzantine_empire charlemagne frankish_empire south_slavs turkic_peoples slavic_peoples kazakh_khanate wilhelm_ii carpathian_mountains sofia ljubljana 
unification_of_germany  world_war_i europe enlargement_of_the_european_union austria germany history_of_europe germanic_peoples monarchy magna_carta royal_family french_revolution napoleon napoleonic_wars prussia franz_joseph_i_of_austria german_empire the_great_war weimar_republic nazi_germany anschluss hamburg constitutional_monarchy heligoland 
trade_union  europe industrial_revolution revolutions_of_1989 denmark norway history_of_europe democracy revolutions_of_1848 danzig brexit 
flux  extratropical_cyclone divergence ocean zonal_flow extratropical_transition_technique mediterranean_tropical-like_cyclone 
vortex  extratropical_cyclone cyclone tornado eye_(cyclone) fujiwhara_effect extratropical_transition_technique tropical_cyclogenesis mesocyclone anticyclonic_storm whales 
adolf_hitler  world_war_i europe russian_federation modern_era cold_war iron_curtain berlin_wall winston_churchill austria bosnia_and_herzegovina croatia czech_republic estonia germany greece poland romania russia slovakia slovenia volga_river history_of_europe balkans rhine crete persecution_of_jews peace_of_westphalia modern_history napoleon balance_of_power_(international_relations) prussia austro-hungarian_empire great_depression world_war_ii wilhelm_ii austria-hungary german_empire communist treaty_of_versailles stalin the_great_war weimar_republic mussolini fascism kingdom_of_italy nazi_germany anschluss munich_agreement sudetenland czechoslovakia appeasement molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik battle_of_france battle_of_britain operation_barbarossa empire_of_japan allies_of_world_war_ii joseph_stalin battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings berlin battle_of_berlin the_holocaust european_coal_and_steel_community alps southern_europe balkan vienna copenhagen warsaw 
sarajevo  world_war_i europe moscow paris london madrid demographics_of_europe vatican_city austria bosnia_and_herzegovina gibraltar monaco serbia history_of_europe balkans athens south_slavs kiev rome austro-hungarian_empire franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria austria-hungary the_great_war berlin balkan tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
mycenean_greece  europe crete 
troposphere  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone thunderstorm tornado synoptic_scale_meteorology weather_system depression_(weather) cyclogenesis wind_shear jetstream atmospheric_pressure bomb_(meteorology) cold-core_low subtropical_cyclone sea_surface_temperature weather_satellite mean_sea_level_pressure wind low_pressure_system thundersnow extratropical_transition_technique tropical_cyclogenesis mesocyclone polar_low thermal_low atlantic_hurricane mediterranean_tropical-like_cyclone polar_vortex typhoon weather_bomb 
giovanni_boccaccio  europe middle_ages renaissance_humanism greek_mythology italy petrarch late_middle_ages pandemic florence cinquecento 
education_in_france  europe franks france charlemagne carolingian france_in_the_middle_ages french_revolution napoleonic_empire 
yerevan  europe moscow paris london madrid asia demographics_of_europe soviet_union vatican_city azerbaijan gibraltar monaco armenia athens sasanids caucasus kiev jerusalem rome berlin tirana andorra_la_vella vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara sukhumi pristina stepanakert tskhinvali tiraspol 
bucharest  world_war_i europe european_union demonym istanbul moscow paris london madrid demographics_of_europe european_climate western_europe nato vatican_city gibraltar hungary republic_of_macedonia monaco romania balkans athens kiev list_of_epidemics rome revolutions_of_1848 austro-hungarian_empire greek_war_of_independence austria-hungary the_great_war second_polish_republic berlin carpathian_mountains balkan tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
eurozone  pound_sterling europe european_union demographics_of_europe western_europe council_of_europe european_integration enlargement_of_the_european_union euro schengen_area austria belgium bulgaria estonia finland france germany greece republic_of_ireland italy san_marino kosovo latvia lithuania luxembourg malta monaco montenegro netherlands portugal slovakia slovenia spain sweden cyprus history_of_europe balkans history_of_the_european_union berlin european_coal_and_steel_community flag_of_europe treaty_of_rome euratom european_community european_parliament european_court_of_justice brexit geography_of_europe geology_of_europe southern_europe balkan politics_of_europe regions_of_europe 
capital_city  north_carolina oregon wellington new_jersey montevideo europe moscow paris london madrid africa oceania federation denmark france gibraltar germany georgia_(country) isle_of_man san_marino portugal sweden athens city_states constantinople carolingian_empire visigoths kiev jerusalem granada rome christopher_columbus berlin european_parliament benelux capital_city tirana vienna baku brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn helsinki budapest dublin astana riga vilnius luxembourg_(city) skopje valletta podgorica amsterdam warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) sukhumi pristina stepanakert canary_islands t%c3%b3rshavn 
greenland  arctic_ocean ocean blocking_anticyclone great_plains pound_sterling united_states_dollar canada polar_low icelandic_low europe european_union demonym continent eastern_hemisphere atlantic_ocean mediterranean_sea eurasia borders_of_the_continents caspian_sea asia renaissance_exploration age_of_discovery americas africa oceania western_europe enlargement_of_the_european_union euro schengen_area maghreb anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country denmark finland france iceland norway svalbard sweden faroe_islands greenland norwegian_sea north_america balkans near_east mediterranean_coast mediterranean_basin slavs vikings asia_minor caucasus high_middle_ages late_middle_ages monarchy slavic_peoples new_world history_of_the_european_union decolonisation geography_of_europe italian_peninsula tundra baltic_shield columbia_(supercontinent) laurentia laurasia southern_europe fauna_of_europe quaternary_glaciation wolf balkan polar_bear mediterranean politics_of_europe regions_of_europe nordic_council area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density copenhagen reykjav%c3%adk stockholm crown_dependencies british_overseas_territories %c3%85land_islands %c3%85land t%c3%b3rshavn 
baltic_shield  europe east_european_craton baltica fennoscandia 
schengen_area  europe european_union demographics_of_europe western_europe council_of_europe european_integration enlargement_of_the_european_union euro austria belgium croatia czech_republic denmark estonia finland gibraltar germany hungary republic_of_ireland latvia liechtenstein monaco netherlands norway svalbard poland portugal romania slovakia spain sweden switzerland faroe_islands history_of_europe balkans history_of_the_european_union european_coal_and_steel_community treaty_of_rome euratom european_community european_parliament european_court_of_justice geography_of_europe geology_of_europe southern_europe balkan politics_of_europe regions_of_europe eurozone nordic_council abkhazia canary_islands 
madrid  montevideo mediterranean_tropical-like_cyclone europe european_union demonym istanbul moscow paris london madrid demographics_of_europe renaissance_art vatican_city euro gibraltar monaco spain iberia athens iberian_peninsula asturias kiev granada florence rome avignon protestant napoleon grande_arm%c3%a9e napoleonic_wars nkvd berlin southern_europe capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert tskhinvali tiraspol 
list_of_countries_by_area  europe demographics_of_europe americas vatican_city germany luxembourg united_kingdom north_america southern_europe 
shem  europe continent armenia noah japheth socrates pythagoras bulgars 
city_states  europe history_of_europe pax_romana republic 
hail  storm extratropical_cyclone cyclone rain thunderstorm blizzard tornado cold_front precipitation_(meteorology) thundersnow flood montevideo extratropical_transition_technique mesocyclone atlantic_hurricane kona_storm pandemic 
cold-core_low  extratropical_cyclone subtropical_cyclone sea_surface_temperature norwegian_cyclone_model blocking_anticyclone hurricane_sandy extratropical_transition_technique nor%27easter mediterranean_tropical-like_cyclone polar_vortex 
ancient_history  europe mediterranean_sea caspian_sea classical_antiquity ancient_greece middle_ages modern_era americas greek_mythology phoenicia republic_of_macedonia armenia roman_era islamic_world mediterranean_coast minoan_civilization phoenicians ancient_rome galen achaemenid_empire roman_empire augustus carolingian_empire ostrogoths byzantine_empire sasanids history_of_islam_in_southern_italy umayyad_caliphate umayyad frankish_empire holy_roman_empire serbian_empire late_middle_ages maritime_republics ottoman_empire golden_horde christopher_columbus modern_history napoleonic_empire austrian_empire austro-hungarian_empire italian_unification russian_empire austria-hungary german_empire nazi_germany british_empire mediterranean 
the_americas  europe western_civilization north_america eastern_orthodox history_of_europe thucydides pandemic early_modern_period treaty_of_versailles 
hominid  europe spain 
danube  arctic_ocean ocean crimean_war europe continent atlantic_ocean mediterranean_sea eurasia ural_river caspian_sea black_sea asia middle_ages americas africa oceania western_europe iron_curtain maghreb anatolia franks austria bulgaria croatia germany hungary italy republic_of_macedonia moldova montenegro poland romania serbia slovakia ukraine north_america herodotus europa_regina history_of_europe balkans near_east rhine linear_pottery_culture mediterranean_coast mediterranean_basin achaemenid_empire roman_empire roman_architecture augustus germanic_peoples constantinople early_middle_ages ostrogoths visigoths goths vandals huns slavs bulgars pechenegs cumans charlemagne croats serbs asia_minor caucasus south_slavs serbian_empire ottoman_empire mongol_invasion_of_europe slavic_peoples golden_horde thirty_years_war battle_of_vienna new_world napoleon grande_arm%c3%a9e napoleonic_wars austro-hungarian_empire ausgleich russian_empire serbian_revolution greek_war_of_independence austria-hungary battle_of_france battle_of_berlin geography_of_europe alps italian_peninsula southern_europe balkan mediterranean regions_of_europe vienna sofia budapest skopje bucharest belgrade bratislava ljubljana transnistria 
phoenicia  europe mediterranean_sea classical_antiquity ancient_history africa europa_(mythology) phoenicia athena phoenician_language gibraltar italy malta spain shem herodotus pillars_of_hercules roman_era islamic_world iberia history_of_europe mediterranean_coast phoenicians ancient_rome pythagoras city_states achaemenid_empire roman_empire byzantine_empire sasanids iberian_peninsula umayyad_caliphate umayyad nation_state nation-states mediterranean dolphin yerevan lisbon canary_islands 
cuman-kipchak_confederation  europe cumans turkic_peoples golden_horde 
europa_regina  europe european_anthem europe_day europa_(mythology) history_of_europe habsburg_empire flag_of_europe 
anatolia  arctic_ocean world_war_i ocean crimean_war europe istanbul continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea asia ancient_greece migration_period ancient_history middle_ages americas africa oceania western_europe world_war greek_mythology phoenicia phoenician_language maghreb georgia_(country) greece turkey armenia cyprus aegean_sea north_america herodotus strabo eastern_orthodox islamic_world homo_erectus_georgicus vin%c4%8da_culture balkans near_east rhine linear_pottery_culture mediterranean_coast burial_mound minoan_civilization greeks phoenicians mediterranean_basin athens homer achaemenid_empire roman_empire christianity constantinople decline_of_the_roman_empire visigoths slavs cumans byzantine_empire sasanids caucasus history_of_islam_in_southern_italy umayyad_caliphate umayyad battle_of_tours south_slavs third_crusade crusades battle_of_manzikert fourth_crusade fall_of_constantinople ottoman_empire turkic_peoples slavic_peoples new_world orient russian_empire balkan_wars the_great_war ataturk turkish_republic italian_peninsula temperate_steppe geology_of_europe southern_europe steppe neolithic balkan mediterranean ankara 
rhine  europe migration_period middle_ages winston_churchill franks france germany italy liechtenstein netherlands spain switzerland north_sea roman_era history_of_europe danube linear_pottery_culture corded_ware ancient_rome roman_empire augustus germanic_peoples early_middle_ages carolingian_empire decline_of_the_roman_empire vandals saxons frankish_empire holy_roman_empire martin_luther peace_of_westphalia habsburg_dynasty french_revolution grande_arm%c3%a9e napoleonic_wars napoleonic_empire nation_state nation-states world_war_ii treaty_of_versailles saarland rhineland phoney_war battle_of_france geography_of_europe alps neolithic wolf eurasian_wolf vaduz amsterdam lisbon 
kona_storm  tropical_cyclone hurricane european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone rain weather_system depression_(weather) cyclogenesis bomb_(meteorology) cold-core_low subtropical_cyclone low_pressure_system extratropical_transition_technique nor%27easter sudestada centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane australian_east_coast_low genoa_low icelandic_low polar_vortex weather_bomb alberta_clipper colorado_low gulf_low 
ottoman_empire  world_war_i crimean_war europe istanbul mediterranean_sea borders_of_the_continents black_sea asia russian_federation western_civilization middle_ages renaissance_exploration modern_era age_of_discovery africa western_europe world_war vatican_city phoenicia maghreb anatolia frangistan franks list_of_transcontinental_countries boundaries_between_continents transcontinental_country albania austria bosnia_and_herzegovina bulgaria croatia czech_republic georgia_(country) greece italy kosovo republic_of_macedonia malta moldova montenegro poland romania russia serbia slovakia spain turkey ukraine united_kingdom armenia cyprus adriatic_sea aegean_sea eastern_orthodox islamic_world byzantium islam iberia sea_of_azov tanais history_of_europe balkans near_east danube mediterranean_coast crete greeks phoenicians mediterranean_basin parthenon athens democracy achaemenid_empire roman_empire augustus constantinople carolingian_empire slavs pechenegs magyars byzantine_empire code_of_justinian hagia_sophia holy_roman_emperor croats serbs sasanids asia_minor caucasus iberian_peninsula umayyad_caliphate umayyad frankish_empire holy_roman_empire south_slavs serbian_empire high_middle_ages late_middle_ages maritime_republics nobility papacy crusades jerusalem fourth_crusade fall_of_constantinople ottoman_empire mongol_invasion_of_europe turkic_peoples slavic_peoples mongol_invasion_of_rus tatars golden_horde ivan_the_terrible france_in_the_middle_ages black_death pandemic persecution_of_jews list_of_epidemics early_modern_period music pope thirty_years_war polish%e2%80%93lithuanian_commonwealth crimean_khanate siege_of_vienna battle_of_vienna habsburg_dynasty christopher_columbus modern_history napoleon napoleonic_wars battle_of_waterloo napoleonic_empire nation_state great_power austrian_empire revolutions_of_1848 austro-hungarian_empire nation-states eastern_question russian_empire habsburg_empire serbian_revolution greek_war_of_independence balkan_wars congress_of_berlin interwar_period world_war_ii history_of_the_european_union yugoslav_nationalism entente_powers central_powers austria-hungary german_empire russian_revolution russian_civil_war the_great_war kingdom_of_italy ataturk turkish_republic nazi_germany british_empire allies_of_world_war_ii superpower decolonisation southern_europe balkan mediterranean republic constitutional_monarchy flag tirana yerevan vienna sarajevo sofia nicosia budapest skopje valletta chi%c8%99in%c4%83u podgorica amsterdam bucharest belgrade bratislava ankara abkhazia sukhumi pristina tiraspol canary_islands akrotiri_and_dhekelia 
hurricane  hurricane_(disambiguation) storm cyclone blizzard bar_(unit) weather_satellite coriolis_effect convection wind vortex great_storm_of_1987 hurricane_sandy new_jersey nor%27easter mesocyclone atlantic_hurricane christopher_columbus flag 
strabo  europe continent borders_of_the_continents caspian_sea black_sea physical_geography ancient_greece europa_(mythology) greek_mythology phoenicia boundaries_between_continents azerbaijan georgia_(country) romania spain anaximander herodotus pillars_of_hercules posidonius ptolemy iberia sea_of_azov tanais bronze_age rhine phoenicians aristotle historiography thucydides roman_empire germanic_peoples vandals cumans iberian_peninsula basque_people school_of_athens apennine_mountains zagreb abkhazia 
